Year,Persons_Trial_Completed,Total_Persons_under_Trial
2007,495,1061
2007,539,2018
2007,49,329
2007,0,0
2007,2089,7231
2007,941,9937
2007,0,0
2007,0,9
2007,0,0
2007,0,0
2007,754,3324
2007,7,25
2007,332,1284
2007,463,3070
2007,0,0
2007,430,1561
2007,51,113
2007,5179,27935
2007,172,901
2007,949,4031
2008,0,3
2008,1082,4339
2008,0,0
2008,102,539
2008,2025,12996
2008,6,28
2008,238,922
2008,0,3
2008,4,4
2008,131,2211
2008,0,23
2008,65,1725
2008,561,1828
2008,27,108
2008,3,105
2008,327,1093
2008,443,2136
2008,13,305
2008,0,0
2008,1968,7410
2008,884,10401
2008,0,0
2008,0,12
2008,0,0
2008,0,0
2008,659,3263
2008,0,18
2008,245,1176
2008,538,3242
2008,0,0
2008,463,1564
2008,23,89
2008,6049,29007
2008,241,893
2008,956,4012
2009,0,4
2009,1484,4523
2009,0,0
2009,122,618
2009,2068,13122
2009,8,28
2009,242,1038
2009,0,3
2009,0,0
2009,168,2335
2009,2,25
2009,55,1712
2009,549,1887
2009,7,86
2009,11,147
2009,357,1284
2009,409,2226
2009,36,325
2009,0,0
2009,1769,7903
2009,796,10720
2009,0,0
2009,0,12
2009,0,0
2009,0,0
2009,744,3454
2009,4,22
2009,296,1179
2009,478,3239
2009,0,0
2009,457,1580
2009,51,123
2009,6331,29276
2009,214,846
2009,950,3881
2010,0,4
2010,1512,4411
2010,0,0
2010,121,688
2010,1593,13712
2010,16,30
2010,236,1038
2010,0,3
2010,1,1
2010,219,2366
2010,3,23
2010,19,1690
2010,588,1910
2010,3,83
2010,17,160
2010,530,1510
2010,628,2528
2010,24,336
2010,0,0
2010,2057,8681
2010,1034,11289
2010,0,0
2010,0,12
2010,0,0
2010,0,0
2010,933,3758
2010,2,19
2010,293,1055
2010,454,3325
2010,0,0
2010,450,1423
2010,49,128
2010,6725,28783
2010,260,795
2010,899,4032
2001,2,99
2001,2573,8684
2001,41,212
2001,565,2362
2001,525,2256
2001,40,115
2001,819,9283
2001,6,20
2001,0,0
2001,384,2051
2001,49,116
2001,786,7930
2001,751,3343
2001,293,1891
2001,497,5841
2001,189,1673
2001,1655,6128
2001,974,8028
2001,0,0
2001,4437,31529
2001,1712,25032
2001,1,7
2001,12,124
2001,62,127
2001,0,5
2001,1559,12138
2001,33,124
2001,107,734
2001,2156,14879
2001,0,0
2001,2356,7163
2001,45,111
2001,2948,13023
2001,108,454
2001,541,5418
2002,10,113
2002,2291,8969
2002,18,237
2002,600,2707
2002,357,2631
2002,39,111
2002,1882,9641
2002,4,17
2002,0,0
2002,178,2237
2002,23,82
2002,589,8027
2002,748,3195
2002,187,1834
2002,1034,6604
2002,729,1883
2002,1497,5921
2002,1021,9096
2002,0,1
2002,4009,32962
2002,1971,25751
2002,0,8
2002,10,122
2002,43,92
2002,1,5
2002,1672,12778
2002,32,148
2002,283,1052
2002,2214,14931
2002,2,5
2002,2891,7717
2002,70,151
2002,2848,12959
2002,112,517
2002,1050,5965
2003,7,118
2003,2703,9987
2003,4,242
2003,757,3175
2003,465,3081
2003,20,91
2003,825,9226
2003,2,16
2003,0,2
2003,606,2632
2003,16,69
2003,560,8270
2003,594,2911
2003,239,1899
2003,814,7403
2003,237,1410
2003,1331,6063
2003,1093,9754
2003,1,1
2003,4308,35614
2003,1782,26142
2003,0,9
2003,5,116
2003,91,132
2003,0,7
2003,1587,13608
2003,25,186
2003,310,1132
2003,1888,14650
2003,2,17
2003,2539,7315
2003,28,156
2003,2127,11426
2003,136,560
2003,703,6448
2004,7,123
2004,2880,10203
2004,10,282
2004,921,3192
2004,600,3500
2004,16,90
2004,1533,9591
2004,5,25
2004,0,3
2004,259,2714
2004,13,70
2004,536,8689
2004,789,2801
2004,251,1865
2004,1376,8356
2004,237,1445
2004,1235,6260
2004,1454,10755
2004,0,0
2004,4261,36589
2004,1595,26984
2004,0,10
2004,8,121
2004,5,86
2004,6,11
2004,1745,14441
2004,53,222
2004,167,1311
2004,2183,15270
2004,4,47
2004,2630,7496
2004,64,297
2004,2349,11656
2004,144,590
2004,591,7224
2005,2,124
2005,3392,10066
2005,37,312
2005,849,3146
2005,666,3477
2005,17,104
2005,1545,8247
2005,10,28
2005,0,4
2005,202,3232
2005,7,69
2005,756,9105
2005,466,2508
2005,324,1792
2005,1147,8430
2005,710,1513
2005,1763,6650
2005,1503,11072
2005,0,0
2005,4608,37279
2005,1845,28491
2005,0,11
2005,7,128
2005,92,119
2005,2,12
2005,1559,15935
2005,29,219
2005,215,1451
2005,2416,15266
2005,12,50
2005,2696,7410
2005,149,354
2005,2219,11714
2005,89,567
2005,895,8414
2006,4,141
2006,2933,9424
2006,24,306
2006,1040,3304
2006,681,3538
2006,21,112
2006,1080,7935
2006,5,27
2006,1,6
2006,226,3709
2006,11,91
2006,524,9251
2006,368,2652
2006,197,1763
2006,1203,9138
2006,434,1403
2006,1780,6778
2006,2296,12025
2006,0,0
2006,3504,37299
2006,1843,30116
2006,2,12
2006,17,159
2006,58,89
2006,6,12
2006,1762,17810
2006,38,223
2006,252,1582
2006,2208,15043
2006,3,42
2006,2084,6366
2006,119,333
2006,2491,12050
2006,126,677
2006,1196,9223
2007,6,167
2007,3795,10270
2007,21,336
2007,1144,3229
2007,652,3881
2007,28,115
2007,749,8288
2007,7,22
2007,1,8
2007,252,4510
2007,5,89
2007,615,9850
2007,477,2866
2007,211,1857
2007,1018,10049
2007,299,1163
2007,1827,7104
