610,22,1477,965,180,1315,1495,3747,332,790,3594,4559,
982,1,1816,1446,212,998,1148,5766,220,1194,5515,6961,
12,0,24,25,14,7,6,81,0,26,82,107,
612,51,1146,1126,238,37,54,4207,3,850,3982,5108,
2,0,5,6,0,4,3,10,0,2,6,12,
1,0,4,4,0,0,0,6,0,1,3,7,
411,0,731,657,227,397,453,1860,18,638,1841,2498,
7,0,25,16,1,15,24,90,0,8,82,98,
251,5,503,479,59,40,60,3935,4,310,3771,4250,
415,0,607,616,180,51,42,1205,0,595,1184,1800,
102,4,197,156,19,33,67,636,7,121,605,761,
184,0,331,318,7,1,4,1418,10,191,1291,1609,
700,8,886,832,206,390,407,1250,37,906,1332,2164,
276,0,518,514,59,104,98,1308,10,335,1129,1643,
596,5,555,655,88,585,485,3680,0,684,3714,4369,
0,0,1,1,0,0,0,3,0,0,2,3,
2595,5,4131,4132,1133,69,68,11123,0,3728,10724,14856,
1112,13,2097,2026,178,619,677,16158,13,1290,15435,17461,
4,1,12,2,0,39,35,71,14,4,74,76,
10,0,76,34,17,147,166,398,23,27,391,425,
4,0,87,95,32,56,48,72,0,36,13,108,
2,3,15,15,31,11,11,35,0,33,56,71,
528,0,1026,1000,181,103,123,4250,6,709,3959,4959,
3,0,14,12,8,11,13,31,0,11,30,42,
351,2,709,518,121,251,385,846,57,472,802,1320,
593,15,1201,1205,300,10,6,3888,0,893,3591,4796,
3,0,30,21,0,4,7,42,6,3,24,45,
467,14,615,591,131,337,351,1674,10,598,1695,2286,
130,1,165,161,56,40,36,150,8,186,176,337,
923,9,2283,1980,962,163,146,7566,320,1885,7480,9460,
100,0,171,156,75,25,13,548,27,175,567,723,
1104,20,2409,2433,100,1223,1057,10751,142,1204,9542,11975,
6,0,13,2,0,2,13,56,0,6,60,62,
1317,3,1531,1526,244,637,610,2964,32,1561,3002,4528,
1,0,37,28,2,24,13,516,20,3,491,519,
635,42,1445,967,201,1495,1559,3836,414,836,3747,4714,
918,4,1464,1323,221,1148,1200,5946,89,1139,5766,7089,
12,0,27,26,7,6,7,88,0,19,81,107,
619,39,1108,1059,207,54,103,4401,0,826,4207,5266,
6,0,8,8,0,3,3,12,0,6,10,18,
2,0,0,0,0,0,0,4,0,2,6,6,
324,0,573,702,155,453,307,2083,17,479,1860,2562,
20,0,41,20,6,24,45,84,0,26,90,110,
248,3,529,535,75,60,53,4144,1,323,3935,4470,
529,0,849,801,175,42,90,1302,0,704,1205,2006,
129,2,182,176,48,67,72,633,1,177,636,812,
194,5,234,236,17,4,2,1438,0,211,1418,1654,
451,44,802,761,152,407,427,1364,21,603,1250,2011,
353,11,642,581,53,98,142,1472,17,406,1308,1889,
325,1,623,557,45,485,544,3866,7,370,3680,4237,
0,0,1,1,1,0,0,3,0,1,3,4,
2888,13,3875,3847,1357,68,96,10712,0,4245,11123,14970,
1221,13,2206,2056,219,677,796,16761,31,1440,16158,18214,
0,0,19,6,0,35,34,77,14,0,71,77,
20,1,82,57,11,166,185,423,6,31,398,455,
10,0,94,81,92,48,61,51,0,102,72,153,
3,2,27,20,15,11,9,35,9,18,35,55,
667,0,1045,1065,212,123,103,4436,0,879,4250,5315,
2,0,8,9,0,13,12,38,0,2,31,40,
410,4,663,589,224,385,402,797,57,634,846,1435,
623,16,1211,1205,273,6,12,4181,0,896,3888,5093,
2,0,24,20,5,7,10,55,1,7,42,62,
472,1,740,583,113,351,495,1671,13,585,1674,2257,
84,0,210,173,21,36,24,218,49,105,150,323,
1181,4,2825,2199,1157,146,192,7423,580,2338,7566,9765,
105,0,108,106,81,13,14,468,1,186,548,654,
1351,29,1790,1664,148,1057,1099,10887,84,1499,10751,12415,
2,0,36,27,1,13,22,80,0,3,56,83,
1278,2,1487,1302,182,610,775,2804,20,1460,2964,4266,
2,0,60,51,3,13,16,562,6,5,516,567,
408,32,1644,1040,235,1559,1701,4201,462,643,3836,4876,
1031,0,1086,1043,237,1200,1144,5721,99,1268,5946,6989,
19,0,38,25,26,7,19,68,1,45,88,113,
577,45,1128,1117,243,103,109,4653,5,820,4401,5518,
1,0,5,5,1,3,3,15,0,2,12,17,
0,0,1,1,0,0,0,5,0,0,4,5,
249,0,557,615,195,307,242,2254,7,444,2083,2698,
20,0,56,41,7,45,56,98,4,27,84,125,
244,2,610,597,44,53,66,4451,0,288,4144,4741,
492,0,848,832,230,90,106,1412,0,722,1302,2134,
125,0,250,260,40,72,57,728,5,165,633,893,
266,12,303,301,12,2,4,1449,0,278,1438,1739,
508,12,765,764,341,427,418,1267,10,849,1364,2128,
468,1,595,567,48,142,148,1522,22,516,1472,2039,
329,1,694,751,57,544,487,4230,0,386,3866,4617,
0,0,0,0,0,0,0,3,0,0,3,3,
2536,15,4243,4221,854,96,118,11528,0,3390,10712,14933,
1136,10,2075,2076,225,796,782,17466,13,1361,16761,18837,
0,0,22,7,0,34,40,84,9,0,77,84,
18,0,110,96,7,185,189,494,10,25,423,519,
21,0,81,117,53,61,25,94,0,74,51,168,
1,0,27,29,16,9,5,47,2,17,35,64,
641,0,1119,1100,183,103,122,4712,0,824,4436,5536,
2,0,1,8,4,12,4,40,1,6,38,46,
429,0,681,631,234,402,411,765,41,663,797,1428,
545,23,1388,1387,296,12,13,4704,0,841,4181,5568,
12,1,19,19,5,10,10,56,0,17,55,74,
439,0,776,776,111,495,482,1897,13,550,1671,2447,
144,4,336,169,24,24,97,215,94,168,218,387,
1381,0,2918,2168,1187,192,168,7023,774,2568,7423,9591,
116,0,138,146,83,14,4,415,2,199,468,614,
1088,38,1748,1707,132,1099,1095,11336,45,1220,10887,12594,
0,0,39,28,0,22,33,108,0,0,80,108,
1134,19,1761,1674,173,775,808,3152,54,1307,2804,4478,
2,2,49,40,4,16,20,594,5,6,562,602,
532,78,1629,1153,117,1701,1716,4627,461,649,4201,5354,
1188,0,892,816,280,1144,1126,5069,94,1468,5721,6537,
24,0,44,38,16,19,16,66,9,40,68,106,
762,2,1198,1203,270,109,92,4822,12,1032,4653,5856,
2,0,3,4,2,3,2,15,0,4,15,19,
0,0,1,1,0,0,0,6,0,0,5,6,
331,0,602,532,201,242,301,2254,11,532,2254,2786,
25,0,50,62,7,56,42,128,2,32,98,160,
255,2,617,620,40,66,63,4774,0,295,4451,5071,
557,0,866,853,161,106,118,1547,1,718,1412,2265,
146,1,197,204,38,57,49,747,1,184,728,932,
205,2,266,259,5,4,11,1496,0,210,1449,1708,
482,13,836,911,194,418,343,1489,0,676,1267,2178,
497,24,771,703,82,148,166,1622,50,579,1522,2225,
281,0,659,779,52,487,367,4676,0,333,4230,5009,
0,0,0,0,0,0,0,3,0,0,3,3,
2710,31,4387,4407,1230,118,77,11964,21,3940,11528,15935,
1243,12,2180,2145,202,782,801,18154,16,1445,17466,19611,
6,0,22,5,1,40,47,82,10,7,84,89,
10,2,135,73,4,189,233,551,18,14,494,567,
3,0,112,125,123,25,12,93,0,126,94,219,
5,0,17,19,12,5,3,49,0,17,47,66,
855,0,1363,1369,188,122,116,5038,0,1043,4712,6081,
0,0,5,2,1,4,7,41,0,1,40,42,
469,0,766,654,244,366,417,697,61,713,756,1410,
663,22,1343,1355,298,13,0,5076,1,961,4704,6059,
2,0,21,30,1,10,1,83,0,3,56,86,
512,1,777,682,136,482,558,1930,19,648,1897,2579,
180,1,320,226,32,97,148,228,43,212,215,441,
1218,0,2580,1842,1304,168,203,6343,703,2522,7023,8865,
118,0,171,159,86,4,16,370,0,204,415,574,
987,27,2395,2242,128,1095,1142,12436,106,1115,11336,13578,
2,0,4,5,0,9,8,25,0,2,22,27,
717,71,965,771,82,346,459,1286,81,799,1385,2156,
5,0,60,56,5,21,17,320,8,10,274,330,
501,58,1583,801,109,1735,1928,2348,589,610,2215,3016,
614,2,988,933,191,668,572,8547,151,805,8421,9354,
18,0,43,30,1,2,6,137,9,19,126,156,
98,13,223,207,44,9,25,1227,0,142,1175,1382,
0,0,3,2,0,1,2,11,0,0,9,11,
5,0,2,0,0,0,0,9,2,5,14,14,
153,0,298,328,263,113,55,221,28,416,309,637,
30,0,8,6,8,7,6,31,3,38,63,69,
466,21,1063,1145,30,249,157,7739,10,496,7111,8256,
223,0,298,283,68,22,37,1116,0,291,1124,1407,
43,0,74,55,4,17,18,339,18,47,331,386,
554,61,633,618,1,31,1,4025,45,555,4023,4641,
140,18,318,307,111,168,150,1398,29,251,1360,1667,
371,5,306,271,8,89,92,1138,32,379,1251,1522,
90,2,114,116,7,91,62,723,27,97,706,822,
0,0,0,0,0,0,0,0,0,0,0,0,
812,49,917,882,221,58,81,5346,12,1033,5546,6428,
709,53,1022,1034,43,303,234,8811,57,752,8582,9616,
2,0,58,1,0,39,17,74,79,2,75,76,
3,0,9,8,0,32,29,97,4,3,92,100,
1,0,5,7,6,6,4,4,0,7,4,11,
0,0,9,1,0,9,15,43,2,0,42,43,
444,0,555,513,56,26,59,2092,9,500,2079,2592,
0,0,1,1,1,1,1,17,0,1,17,18,
115,11,369,233,32,273,362,644,47,147,569,802,
1314,93,1261,1271,450,20,7,10645,3,1764,11231,12502,
0,0,0,0,0,0,0,0,0,0,0,0,
535,35,808,583,123,717,633,2170,309,658,2280,2863,
16,0,43,21,4,27,32,179,17,20,178,199,
1423,83,4295,3746,1596,677,814,14452,412,3019,13808,17554,
69,8,153,153,42,31,15,732,16,111,698,851,
501,13,1331,1091,29,1311,1214,5959,337,530,5411,6502,
6,0,1,9,0,8,0,28,0,6,25,34,
642,33,962,934,84,459,430,1461,57,726,1286,2220,
0,0,57,33,0,17,26,353,15,0,320,353,
416,75,1967,914,86,1928,2433,2685,548,502,2348,3262,
671,0,1154,1092,172,581,381,8796,262,843,8547,9639,
23,0,37,29,4,6,4,139,10,27,137,166,
201,3,178,193,67,25,10,1139,0,268,1217,1410,
1,0,6,10,0,5,1,20,0,1,11,21,
9,0,0,0,0,0,0,0,0,9,9,9,
63,0,325,312,28,55,46,442,22,91,221,533,
5,0,9,5,0,6,9,31,1,5,31,36,
420,16,1007,1027,28,157,130,8302,7,448,7739,8766,
357,3,328,333,68,37,29,1021,3,425,1116,1449,
56,0,96,74,11,18,30,346,10,67,339,413,
400,12,563,545,10,1,11,4148,8,410,4025,4570,
270,54,152,156,82,146,98,957,44,352,1207,1363,
276,1,336,309,9,92,94,1161,25,285,1138,1447,
76,4,92,79,17,62,51,705,24,93,723,802,
0,0,0,0,0,0,0,0,0,0,0,0,
1028,16,1126,1163,201,81,43,5264,1,1229,5346,6509,
843,94,977,879,68,234,280,8685,52,911,8811,9690,
0,0,62,1,1,17,28,74,50,1,74,75,
2,0,21,15,0,29,33,110,2,2,97,112,
0,0,3,1,1,0,2,1,0,1,1,2,
0,1,4,3,1,15,14,44,2,1,43,46,
443,0,534,543,59,59,45,2133,5,502,2092,2635,
4,0,10,5,2,1,6,16,0,6,17,22,
168,9,348,249,111,362,415,605,46,279,644,893,
1703,66,1103,1091,457,7,18,9510,1,2160,10645,11736,
0,0,2,0,0,0,1,0,1,0,0,0,
903,23,847,845,170,633,436,1919,199,1073,2170,3015,
32,0,60,30,1,32,38,176,24,33,179,209,
1803,82,3829,3761,1887,814,465,14441,417,3690,14452,18213,
54,0,244,170,96,15,32,752,57,150,732,902,
719,18,1781,1655,105,1214,1232,6772,108,824,5959,7614,
0,0,1,0,0,0,1,28,0,0,28,28,
552,32,878,773,85,430,445,1565,90,637,1461,2234,
0,0,50,25,0,26,28,378,23,0,353,378,
644,157,1894,1106,141,2433,2452,2849,769,785,2685,3791,
682,10,877,781,141,381,315,8744,162,823,8796,9577,
36,0,22,18,8,4,4,113,4,44,139,157,
83,52,135,143,37,10,2,1125,0,120,1154,1297,
10,0,6,7,2,1,0,15,0,12,20,27,
0,0,1,0,0,0,0,1,1,0,1,1,
121,0,274,126,17,46,156,430,38,138,442,568,
4,0,12,12,0,9,4,39,5,4,31,43,
536,12,945,917,44,130,147,8627,11,580,8302,9219,
317,3,354,353,67,29,28,987,2,384,1021,1374,
73,1,76,82,8,30,11,346,13,81,346,428,
233,11,696,700,2,11,4,4602,3,235,4148,4848,
73,29,336,266,67,98,145,1054,23,140,957,1223,
272,1,242,263,2,94,40,1149,33,274,1161,1424,
53,5,104,89,17,51,66,719,0,70,705,794,
0,0,0,0,0,0,0,0,0,0,0,0,
1020,43,918,924,265,40,32,5147,2,1285,5551,6475,
657,25,938,837,61,280,328,8779,53,718,8685,9522,
2,0,67,2,0,28,45,74,48,2,74,76,
3,0,4,0,0,33,35,107,2,3,110,110,
0,0,3,3,1,0,0,3,0,1,1,4,
0,0,6,2,2,14,18,44,0,2,44,46,
449,0,531,490,57,45,84,2117,2,506,2133,2623,
5,0,13,3,0,6,16,14,0,5,16,19,
113,1,253,244,46,415,372,689,52,159,605,849,
1336,62,921,925,394,18,12,8643,2,1730,9510,10435,
0,0,0,0,0,1,1,0,0,0,0,0,
